@ingestionTime,@timestamp,IngestDelaySecs,IngestDelayMins,TimeStampEpoch,SentTimeEpoch,SentTime,TimeStampDelaySec,srcAddr,srcPort,dstAddr,dstPort
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173074,2022-03-01 22:17:54.000,41,10.0.1.104,39826,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173077,2022-03-01 22:17:57.000,38,10.0.1.104,39829,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173078,2022-03-01 22:17:58.000,37,10.0.1.104,39830,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173083,2022-03-01 22:18:03.000,32,10.0.1.104,39835,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173084,2022-03-01 22:18:04.000,31,10.0.1.104,39836,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173085,2022-03-01 22:18:05.000,30,10.0.1.104,39837,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173088,2022-03-01 22:18:08.000,27,10.0.1.104,39840,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173091,2022-03-01 22:18:11.000,24,10.0.1.104,39843,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173092,2022-03-01 22:18:12.000,23,10.0.1.104,39844,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173093,2022-03-01 22:18:13.000,22,10.0.1.104,39845,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173094,2022-03-01 22:18:14.000,21,10.0.1.104,39846,18.209.225.131,7777
